"","X","tree.size","tree.number","sig2.1","sig2.2","sig2.cov","root.1","root.2","r.term.1","r.term.2","r.term.cov","est.sig2.1","est.sig2.2","est.sig2.cov","est.root.1","est.root.2","est.r.term.1","est.r.term.2","est.r.term.cov","log.likelihood","convergence"
"26",8,50,6,1,0.5,-0.5,0,0,-0.0460517018598809,-0.0460517018598809,-0.0460517018598809,0.107801950628156,0.215619905007838,-0.43780076155554,9001267874190217,7708875818354206,0.0482146265609546,0.036412624762702,0,36641286568286355456,10
"27",9,50,6,1,0.5,-0.5,0,0,-0.0921034037197618,-0.0921034037197618,-0.0921034037197618,0.0524706419164896,0.0669353807847458,-0.171145112080184,-1659383506629326,-2378147781831300,0.0486474350101205,0.0549248105300914,0,54606145481867288,10
"28",1,50,4,1,0.5,0,0,0,-0.0138629436111989,-0.0138629436111989,0,0.393080314845009,0.0685013707936222,0.283341745141027,-1618469887950168,378574699487615,0.0577900292391241,0.0412115381040397,0,17002847811928030,0
"29",2,50,4,1,0.5,0,0,0,-0.0460517018598809,-0.0460517018598809,0,0.0278497936537929,0.0433576763529535,-0.0439520814557555,-0.605508694376842,-0.559612212438258,0.0720428468949271,0.0232380420450259,0,20.0823283577338,10
"30",3,50,4,1,0.5,0,0,0,-0.0921034037197618,-0.0921034037197618,0,0.131837692688508,0.0896655427662377,-0.138755771982855,527476243069702,428762702433130,0.0463825771570721,0.0460342116621284,0,2251799813685240,10
"31",4,50,4,1,0.5,0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.123548969756455,0.186950074683532,-0.20901090375948,1264992927115613,1842096222847760,0.0537285658790638,0.0581956659062722,0,12103423998558164,0
"32",5,50,4,1,0.5,0.5,0,0,-0.0460517018598809,-0.0460517018598809,-0.0460517018598809,0.0365569185524528,0.0222612162179003,0.0821196881802204,-2.66925410127818,2.43013454071114,0.0328217883919135,0.0372502252019033,0,2334.10537740333,10
"33",6,50,4,1,0.5,0.5,0,0,-0.0921034037197618,-0.0921034037197618,-0.0921034037197618,0.0743913944556313,0.00710798471635317,-0.0373324624826007,2875201839187872,2053608555690728,0.0336758344508315,0.0561703914930845,0,538180155470774336,10
"34",7,50,4,1,0.5,-0.5,0,0,-0.0138629436111989,-0.0138629436111989,-0.0138629436111989,0.219710947197511,0.101782435877272,-0.198291919166699,0.320910160992089,0.0466974861498704,0.0413179024526234,0.0474699646167198,0,-50.0395721692679,10
"35",8,50,4,1,0.5,-0.5,0,0,-0.0460517018598809,-0.0460517018598809,-0.0460517018598809,0.233714747039569,0.0282946120472033,-0.113070529371819,-1595122603002966,-495542721268798,0.0354048154300451,0.0328101410341803,0,45035996273704992,10
