,X,tree.size,tree.number,sig2.1,sig2.2,sig2.3,sig2.4,theta.1,theta.2,alpha.1,alpha.2,alpha.3,alpha.4,est.sig2.1,est.sig2.2,est.sig2.3,est.sig2.4,est.theta.1,est.theta.2,est.alpha.1,est.alpha.2,est.alpha.3,est.alpha.4,log.likelihood,convergence
1449,9,150,3,1,0,0,0.5,1,2,0.693147181,0,0,0.34657359,108.1930101,-51.20367558,-51.20367558,61.87386778,1.128604036,1.304889327,90.48693626,-33.54127508,-33.54127508,45.59510885,-344.0436081,0
1450,10,150,3,1,0,0,0.5,1,2,0.693147181,0.259930193,0.259930193,0.34657359,90.54013533,-113.7121157,-113.7121157,189.2507211,0.91954614,1.760425499,35.6106529,-32.39028753,-32.39028753,81.4508811,-386.6146167,0
1451,11,150,3,1,0,0,0.5,1,2,0.693147181,-0.259930193,-0.259930193,0.34657359,555.0107822,9.735011793,9.735011793,0.170754262,1.186542192,2.150814016,342.322844,-84.36000451,-84.36000451,45.04773464,-370.3458042,0
1452,12,150,3,1,0,0,0.5,1,2,0.693147181,0.259930193,0,0.34657359,54.64743884,49.43564332,49.43564332,97.30362114,0.903448618,1.127313196,44.42987217,49.10772023,49.10772023,80.5848357,-386.3881291,0
1453,13,150,4,1,0,0,0.5,1,2,0.138629436,0,0,0.069314718,1.149136935,-0.015556751,-0.015556751,0.512495504,0.127875475,0.622825856,0.111617626,-0.018116734,-0.018116734,0.090580751,-343.2897142,0
1454,14,150,4,1,0,0,0.5,1,2,0.138629436,0.051986039,0.051986039,0.069314718,1.257517918,0.054030933,0.054030933,0.539288152,0.207198632,0.789592906,0.214622047,0.061422804,0.061422804,0.124473644,-342.2909775,0
1455,15,150,4,1,0,0,0.5,1,2,0.138629436,-0.051986039,-0.051986039,0.069314718,1.118710492,0.207278489,0.207278489,0.703402634,0.272535507,0.677208493,0.093395098,0.005381873,0.005381873,0.119382829,-359.9282564,0
1456,16,150,4,1,0,0,0.5,1,2,0.138629436,0.051986039,0,0.069314718,1.201766969,0.061053841,0.061053841,0.44855297,0.765213947,0.835659759,0.199805263,0.066646894,0.066646894,0.022230702,-334.9925855,0
1457,17,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,259.333342,149.8867977,149.8867977,118.3879068,0.179425744,0.414187086,8.645416033,2.602406808,2.602406808,9.623957148,-671.9871492,0
1458,18,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,363.4137987,29.01322234,29.01322234,2.840673402,-0.029178877,-0.878134753,74.96578171,-24.41219744,-24.41219744,19.7935578,-510.3920709,0
1459,19,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,286.1294879,91.55147748,91.55147748,45.65707645,1.14209117,1.111014976,12.58649566,0.988721423,0.988721423,6.165876119,-627.9121828,0
1460,20,150,1,1,0.5,0.5,0.5,1,2,0,0,0,0,16.6016647,15.76367655,15.76367655,95.77737217,-0.529312172,-0.564844067,2.99206425,-3.122929997,-3.122929997,16.30419433,-594.5511486,0
1461,21,150,2,1,0.5,0.5,0.5,1,2,1.386294361,0,0,0.693147181,1.001271579,0.657898567,0.657898567,0.667102152,0.922398706,1.823429655,1.160775052,0.33717497,0.33717497,1.009090847,-150.2193957,0
1462,22,150,2,1,0.5,0.5,0.5,1,2,1.386294361,0.519860385,0.519860385,0.693147181,0.777601587,0.391923088,0.391923088,0.481079989,1.157322338,1.800305157,1.289073671,0.483458874,0.483458874,0.775463762,-156.0148748,0
1463,23,150,2,1,0.5,0.5,0.5,1,2,1.386294361,-0.519860385,-0.519860385,0.693147181,1.312354728,0.534501359,0.534501359,0.489620633,0.949975425,1.755967948,2.304708785,-1.099378613,-1.099378613,1.180965877,-167.1516056,0
1464,24,150,2,1,0.5,0.5,0.5,1,2,1.386294361,0.519860385,0,0.693147181,1.096818358,0.549799239,0.549799239,0.571730956,1.070715702,1.893270905,1.65378447,0.439356095,0.439356095,1.126216828,-150.4241989,0
