"","X","tree.size","tree.number","sig2.1","sig2.2","sig2.3","sig2.4","root.1","root.2","r.term.1","r.term.2","r.term.3","r.term.4","est.sig2.1","est.sig2.2","est.sig2.3","est.sig2.4","est.root.1","est.root.2","est.r.term.1","est.r.term.2","est.r.term.3","est.r.term.4","log.likelihood","convergence"
"669",21,100,3,0.01,0,0,0.005,0,0,0.0460517018598809,0,0,0.0460517018598809,0.564461357012279,0.00401223017434484,0.0836612547962312,1.00740137717625,0.978638167917904,0.468648138192048,-0.0136813589085872,-0.0685971322020658,-0.0402667003300224,-0.167162017954692,-58122030.3058144,1
"670",22,100,1,0.01,0.005,0.005,0.005,0,0,0.0230258509299405,0.0230258509299405,0.0230258509299405,0.0230258509299405,0.55189474429546,0.00701363819602769,0.0620737543223791,1.0338250958849,0.887754858818366,0.470202621217008,-0.0122446287452548,-0.0320049751372458,-0.0241842274021803,-0.0994632639160844,-694895.111313307,1
"671",23,100,2,0.01,0.005,0.005,0.005,0,0,0.0391202300542815,0.0391202300542815,0.0391202300542815,0.0391202300542815,0.568511301145461,0.00604056576996895,0.10670219299364,1.04680831212906,0.824256410746186,0.452501144792005,0.0336978026492432,-0.0402739988730662,0.00238206188535378,-0.125385667793452,-14304410.9451736,1
"672",24,100,3,0.01,0.005,0.005,0.005,0,0,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.581599823570786,0.017639978776068,0.0593638638415216,1.04248994257186,0.920758291395038,0.478303161451857,0.000309818674611977,-0.059518313048053,-0.033779165167475,-0.19937328021077,-48049131.2964991,1
"673",25,100,1,0.01,-0.005,-0.005,0.005,0,0,0.0230258509299405,0.0230258509299405,0.0230258509299405,0.0230258509299405,0.529639508197247,-0.000455022299992829,0.115969328271209,1.02677853015257,0.923214215805956,0.47815660884891,0.00909367139406445,-0.0538122228897133,-0.0463155562637989,-0.182603365654463,-1752915.30770991,1
"674",26,100,2,0.01,-0.005,-0.005,0.005,0,0,0.0391202300542815,0.0391202300542815,0.0391202300542815,0.0391202300542815,0.586582085158736,0.0150601123558755,0.0517168075266475,1.02186186807234,0.960670992622791,0.47715415113406,-0.034187328117403,-0.0639952525437676,-0.048932090708832,-0.162131229547218,-21691853.3316957,1
"675",27,100,3,0.01,-0.005,-0.005,0.005,0,0,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.0460517018598809,0.562001412205776,0.00994681990852708,0.0502597123093903,1.02583189772819,0.952194688141262,0.480681758505504,-0.0512078972571825,-0.0627423263015019,-0.0427999015396412,-0.125881421744348,-54743094.7431301,1
"676",28,150,1,0.01,0,0,0.005,0,0,0.015350567286627,0,0,0.015350567286627,0.549860125793248,0.0285995711877625,0.106762028619466,1.05612921422765,0.866450278586252,0.398305294377155,0.0255695291773804,-0.0098751846500291,-0.0352444066182649,-0.175469582580248,-1627568.61888938,10
"677",29,150,2,0.01,0,0,0.005,0,0,0.026080153369521,0,0,0.026080153369521,0.561622859372532,-3.31481856738356e-05,0.0486298105572976,1.00743823159445,0.980116898192394,0.483917386563821,-0.0327270757672232,-0.0553333412335776,-0.0400864303651221,-0.142670804188654,-30828350.2650819,1
"678",30,150,3,0.01,0,0,0.005,0,0,0.0307011345732539,0,0,0.0307011345732539,0.536747769800385,0.00913986135097181,0.0966464441563979,1.0342120702097,0.977298744224264,0.458256558770106,-0.149650684088518,-0.0579349267749731,-0.0431912594094712,-0.0542202593756899,-91392902.6159934,1
"679",31,150,1,0.01,0.005,0.005,0.005,0,0,0.015350567286627,0.015350567286627,0.015350567286627,0.015350567286627,0.556843287516302,0.010580279507568,0.110023180466519,1.04682033813514,0.892408804889573,0.424062355413422,-0.153623374454496,-0.0738957570523372,-0.0106121728564745,-0.0091767824529475,-1629206.44344847,1
